,	、
-	ー
.	。
;	っ
[	「
]	」
a	あ
ba	ば
bb	っ	b
bd	べん
be	べ
bh	ぶう
bi	び
bj	ぶん
bk	びん
bl	ぼん
bo	ぼ
bp	ぼう
bq	ばい
bt	びと
bu	ぶ
bw	べい
bya	びゃ
byd	びぇん
bye	びぇ
byh	びゅう
byi	びぃ
byj	びゅん
byl	びょん
byo	びょ
byp	びょう
byq	びゃい
byu	びゅ
byw	びぇい
byz	びゃん
bz	ばん
ca	ちゃ
cc	っ	c
cd	ちぇん
ce	ちぇ
cf	ちぇ
ch	ちゅう
ci	ち
cj	ちゅん
ck	ちん
cl	ちょん
co	ちょ
cp	ちょう
cq	ちゃい
cu	ちゅ
cw	ちぇい
cya	ちゃ
cye	ちぇ
cyh	ちゅう
cyi	ちぃ
cyo	ちょ
cyp	ちょう
cyu	ちゅ
cz	ちゃん
d'i	でぃ
d'u	どぅ
d'yu	でゅ
da	だ
dcj	どぅん
dck	でぃん
dd	でん
de	で
df	で
dga	ぢゃ
dgj	ぢゅん
dgl	ぢょん
dgo	ぢょ
dgq	ぢゃい
dgu	ぢゅ
dgz	ぢゃん
dh	づう
dha	でゃ
dhe	でぇ
dhi	でぃ
dho	でょ
dhu	でゅ
di	ぢ
dj	づん
dk	ぢん
dl	どん
dm	でも
dn	だん
do	ど
dp	どう
dq	だい
ds	で	s
dt	だち
du	づ
dw	でい
dya	ぢゃ
dye	ぢぇ
dyi	ぢぃ
dyj	ぢゅん
dyl	ぢょん
dyo	ぢょ
dyp	ぢょう
dyu	ぢゅ
dyz	ぢゃん
dz	だん
d.	だ。
d?	だ？
e	え
fa	ふぁ
fd	ふぇん
fe	ふぇ
ff	っ	f
fh	ふう
fi	ふぃ
fj	ふん
fk	ふぃん
fl	ふぉん
fo	ふぉ
fp	ふぉー
fq	ふぁい
fu	ふ
fw	ふぇい
fya	ふゃ
fyj	ふゅん
fyo	ふょ
fyp	ふょう
fyu	ふゅ
fz	ふぁん
ga	が
gd	げん
ge	げ
gga	ぎゃ
ggu	ぎゅ
ggo	ぎょ
gh	ぐう
gi	ぎ
gj	ぐん
gk	ぎん
gl	ごん
gn      がん
go	ご
gp	ごう
gq	がい
gr	がら
gt	ごと
gu	ぐ
gw	げい
gya	ぎゃ
gyd	ぎぇん
gye	ぎぇ
gyh	ぎゅう
gyi	ぎぃ
gyj	ぎゅん
gyl	ぎょん
gyo	ぎょ
gyp	ぎょう
gyq	ぎゃい
gyu	ぎゅ
gyw	ぎぇい
gyz	ぎゃん
gz	がん
ha	は
hd	へん
he	へ
hf	ふ
hga	ひゃ
hgd	ひぇん
hgh	ひゅう
hgj	ひゅん
hgl	ひょん
hgo	ひょ
hgp	ひょう
hgq	ひゃい
hgu	ひゅ
hgz	ひゃん
hh	ふう
hi	ひ
hj	ふん
hk	ひん
hl	ほん
ho	ほ
hp	ほう
hq	はい
ht	ひと
hu	ふ
hw	へい
hya	ひゃ
hyd	ひぇん
hye	ひぇ
hyh	ひゅう
hyi	ひぃ
hyj	ひゅん
hyl	ひょん
hyo	ひょ
hyp	ひょう
hyq	ひゃい
hyu	ひゅ
hyz	ひゃん
hz	はん
i	い
ja	じゃ
jd	じぇん
je	じぇ
jf	じゅ
jh	じゅう
ji	じ
jj	じゅん
jk	じん
jl	じょん
jo	じょ
jp	じょう
jq	じゃい
ju	じゅ
jw	じぇい
jya	じゃ
jye	じぇ
jyi	じぃ
jyo	じょ
jyp	じょう
jyu	じゅ
jz	じゃん
ka	か
kd	けん
ke	け
kf	き
kga	きゃ
kgh	きゅう
kgj	きゅん
kgl	きょん
kgo	きょ
kgp	きょう
kgq	きゃい
kgu	きゅ
kgz	きゃん
kh	くう
ki	き
kj	くん
kk	きん
kl	こん
km	かも
ko	こ
kp	こう
kq	かい
kr	から
kt	こと
ku	く
kw	けい
kya	きゃ
kye	きぇ
kyh	きゅう
kyi	きぃ
kyj	きゅん
kyl	きょん
kyo	きょ
kyp	きょう
kyu	きゅ
kyz	きゃん
kz	かん
k.	か。
k?	か？
la	ぁ
le	ぇ
li	ぃ
lka	ヵ
lke	ヶ
ll	っ	l
lo	ぉ
ltsu	っ
ltu	っ
lu	ぅ
lwa	ゎ
lya	ゃ
lye	ぇ
lyi	ぃ
lyo	ょ
lyu	ゅ
ma	ま
md	めん
me	め
mf	む
mga	みゃ
mgd	みぇん
mgh	みゅう
mgj	みゅん
mgl	みょん
mgo	みょ
mgp	みょう
mgq	みゃい
mgu	みゅ
mgw	みぇい
mgz	みゃん
mh	むう
mi	み
mj	むん
mk	みん
ml	もん
mm	っ	m
mn	もの
mo	も
mp	もう
mq	まい
ms	ま	s
mt	また
mu	む
mw	めい
mya	みゃ
myd	みぇん
mye	みぇ
myh	みゅう
myi	みぃ
myj	みゅん
myl	みょん
myo	みょ
myp	みょう
myu	みゅ
myz	みゃん
mz	まん
n	ん
n'	ん
na	な
nb	ねば
nd	ねん
ne	ね
nf	ぬ
nga	にゃ
ngd	にぇん
ngh	にゅう
ngj	にゅん
ngl	にょん
ngo	にょ
ngp	にょう
ngq	にゃい
ngu	にゅ
ngw	にぇい
ngz	にゃん
nh	ぬう
ni	に
nj	ぬん
nk	にん
nl	のん
nn	ん
no	の
np	のう
nq	ない
nr	なる
nt	にち
nu	ぬ
nw	ねい
nya	にゃ
nyd	にぇん
nye	にぇ
nyh	にゅう
nyi	にぃ
nyj	にゅん
nyl	にょん
nyo	にょ
nyp	にょう
nyu	にゅ
nyz	にゃん
nz	なん
o	お
pa	ぱ
pd	ぺん
pe	ぺ
pf	ぽん
pga	ぴゃ
pgd	ぴぇん
pgh	ぴゅう
pgj	ぴゅん
pgl	ぴょん
pgo	ぴょ
pgp	ぴょう
pgq	ぴゃい
pgu	ぴゅ
pgz	ぴゃん
ph	ぷう
pi	ぴ
pj	ぷん
pk	ぴん
pl	ぽん
po	ぽ
pp	ぽう
pq	ぱい
pu	ぷ
pw	ぺい
pya	ぴゃ
pyd	ぴぇん
pye	ぴぇ
pyh	ぴゅう
pyi	ぴぃ
pyj	ぴゅん
pyl	ぴょん
pyo	ぴょ
pyp	ぴょう
pyu	ぴゅ
pyz	ぴゃん
pz	ぱん
q	ん
ra	ら
rd	れん
re	れ
rga	りゃ
rgd	りぇん
rgh	りゅう
rgj	りゅん
rgl	りょん
rgo	りょ
rgp	りょう
rgq	りゃい
rgu	りゅ
rgz	りゃん
rh	るう
ri	り
rj	るん
rk	りん
rl	ろん
rn	らん
ro	ろ
rp	ろう
rq	らい
rr	られ
ru	る
rw	れい
rya	りゃ
rye	りぇ
ryh	りゅう
ryi	りぃ
